ID,Date,JobTitle,PostTitle,Pros,Cons,EmploymentStatus,Location,OverallRating,BenefitsRating,CareerOpportunityRating,SeniorManagementRating,WorkEnvironmentRating,WorkLifeBalanceRating,DiversityRating
3058780,2018-07-20T12:58:22Z,Teller,CBA it self a a great place to work however some brunches are managed by terrible stuff,Technology is great.  System is excellent and user friendly,The people I work with are rude and only support you if they like you or moist importantly if you are from their country of origin.  The brunch is full of them!  Need to have more employees from different backgrounds and walks of life.,former employee,"Melbourne VIC, Australia",3,3,3,3,1,3,1
549206,2016-02-17T07:07:45Z,Sales And Service Consultant,"A lot of experiences in three years, whereby I have learnt a lot.","Working at Commonwealth Bank has been a blessing to me; I have learnt a lot and been provided with numerous different experiences.
We regularly celebrate diversity, charities and have a lot of work-based traineeships, health and life programs and support from Employee Assistance programs.
I have worked in three different areas in three years and love the knowledge I have accumulated","The environment is a very competitive one, therefore you need to keep yourself up to date with all the compliance changes, product changes etc",current employee,"Melbourne, Victoria, Australia",5,5,5,5,5,5,5
361931,2015-09-24T21:31:28Z,Solution Delivery Manager / Project Manager,The best place I have worked so far!,"CBA work attitude is to get the work done!! lot of support from management to make sure you have everything you need to get the beset outcome. The quality of the work is extremely innovative, cutting edge and amazing!","At times, due to the tight deadlines, and the challenging nature of the work, it is required to work longer hours.",former employee,"Sydney, New South Wales, Australia",5,4,5,5,5,4,5
366579,2015-09-24T08:37:23Z,Digital Content Specialist,"CommBank gives you the support to grab hold of the endless opportunities it offers employees in a fun, flexible and dynamic work environment","The dynamic work environment, the flexibility working arrangements, the huge focus on career development and great management",It's a fast paced environment but you get the support you need to cope with the pace. So really there aren't any!,current employee,"Sydney, New South Wales, Australia",5,5,5,5,5,5,5
1496288,2017-04-26T07:42:12Z,Savings Specialist,Disappointing. They are not an equal opportunity employer at all. I have a disability and they did not try to helpful at all. They are lucky they didn't get a law suit.,Pay is ok compared to others.,Bad management. Terrible training. Not supportive or approachable at all.,former employee,WA,1,2,3,2,1,1,1
2513128,2018-02-06T05:54:17Z,Mortgage Client Services,I was given a good opportunity to work in many department and lucky to be able to progress and get many skills within the same company,"Many work incentives like Bonuses, free shares and rewards",Great challenge and have a great working experience within CBA,former employee,"Parramatta NSW, Australia",5,5,5,5,5,5,5
564773,2016-02-17T09:20:31Z,Sales Manager,A great people focused business. Forward thinking,A customer centric organization that puts the customer at the centre of everything they do. Leading with technology,Large organization means a lot of talent to choose from,current employee,"Brisbane, Queensland, Australia",5,5,5,5,5,5,5
5314569,2019-04-12T13:17:50Z,Credit Analyst,If you value your sanity please find work elsewhere.,"The people you work with are the only good thing there.
However team building exercises outside the office were great.
Pay was ok
Close to the pubs!!","Management taking credit for your ideas that you put forward to them weeks before.
Unreasonable work loads (you would need the work ethic of Sheldon Cooper to make them happy)
Management treat you like children, and yell at you when something does not go their way.
Work environment only great when drinking at lunch everyday....
If need time off make sure it's not a long break as when you come back you have been replaced in your role.",former employee,"Parramatta NSW, Australia",1,3,1,1,1,1,1
5331997,2019-09-12T03:49:12Z,FBI,I would like to work with CBA again! ,Good environment and good people ,How to absorb all skills ASAP ,former employee,"Sydney NSW, Australia",5,5,5,5,5,5,5
5331816,2019-09-12T01:27:01Z,Specialist,Not very good,"Just a big name, nothing great about work experience",Team leaders not understanding or supportive,former employee,"Brisbane QLD, Australia",1,1,1,1,1,1,1
5331746,2019-09-12T00:46:52Z,Executive Assistant,"Difficult, hard times ahead. ",Nice people once you break into the networks,Onboarding very poor. Very difficult to get access to everything and gain efficiency. Feel like early success is in spite of them. ,former employee,"Sydney NSW, Australia",2,2,3,2,2,2,3
5330137,2019-09-11T10:22:51Z,Agency Officer,Enjoy working at but can be very stressful ,"Supportive management, change to customer focused and not sales focused ",Keeping up with the constant changes,current employee,"Melbourne VIC, Australia",4,5,5,5,4,5,5
5329984,2019-09-11T09:32:34Z,Service Manager,9 years of RBS was a blast until we got moved to ES and it’s downhill from there,Benefits for home loans,"Flat salary, increase is 2% which is way less than inflation 
You get promises but no progress
It’s worse in Enterprise Services 
They are likely to outsource every bit of tech work except risk and service management ",former employee,"Sydney NSW, Australia",3,4,3,3,3,4,4
5329307,2019-09-11T08:48:19Z,Consultant,Very poor experience,The people I worked with excluding managers,Career progression and challenging managers views and opinions,former employee,"Parramatta NSW, Australia",1,1,1,1,1,1,1
5328115,2019-09-11T07:33:49Z,Developer,Good experience,Work life balance and colleagues,Tight timelines and high work pressure at certain times,former employee,"Sydney NSW, Australia",5,4,4,4,5,4,5
5328317,2019-09-11T07:33:27Z,Inbound Customer Service Representative,Great all round culture,"People, time table - work life balance",Not willing to answer this. n/a ,former employee,"Parramatta NSW, Australia",5,4,4,3,5,5,5
5328085,2019-09-11T07:32:28Z,Team Leader,"Very diverse, supportive & innovative place to work.","Diversity, Management, Physical working environment. ","Technology that is good, however, could be much better & needs a major overhaul.",current employee,"Eveleigh NSW, Australia",5,4,4,5,5,4,5
5328076,2019-09-11T07:32:00Z,Customer Service Representative,"The most negative, place I have ever worked in. ",The thought at the start that you can succeed in this role ,Working here and trying to succeed with no chance at all ,former employee,"Parramatta NSW, Australia",1,1,1,1,1,1,1
5327536,2019-09-11T07:13:45Z,Customer Service Specialist,I wouldn’t recommend working for the commonwealth bank ,The client were always so warm and understanding very patient ,The lack of support from management ,former employee,"Brimbank, VIC, Australia",1,2,1,1,1,1,2
5326642,2019-09-11T06:52:00Z,Corporate Receptionist,Not bad for start...high turnover.,People to work with great diversity.,"Very slow process
Too hirearchy",former employee,"Austral NSW, Australia",1,1,1,1,1,1,5
5326715,2019-09-11T06:48:53Z,Senior Project Officer,Loved working here great team,Great people  Amazing office ,"The usual not enough budget to get things done 
No opportunities outside Sydney ",former employee,"Redfern NSW, Australia",5,4,4,4,4,5,4
5326371,2019-09-11T06:46:32Z,Business Analyst,Overall good.,Good Work life balance,Bit slow to move. Too many people working from home too often.,former employee,"Sydney NSW, Australia",4,3,4,4,4,5,5
5324502,2019-09-09T11:07:17Z,Senior Change Manager,Doing more with less has become the norm at CBA. ,"Diversity, culture, flexible working","Unrealistic workload, difficult stakeholders. ",current employee,"Sydney NSW, Australia",4,4,3,4,4,3,4
5323735,2019-09-09T07:30:52Z,Senior Business Analyst,Very rewarding,Freedom to make decisions affecting my project.,It is a vast and complex IT landscape.,former employee,"Sydney NSW, Australia",5,5,5,5,5,4,4
5323433,2019-09-09T07:05:11Z,Director Sales And Trading,I can’t believe I didn’t join earlier in my career when I had the opportunity,"People, culture, diversity, ethical, integrity","New systems, new acronym ",current employee,"Sydney NSW, Australia",5,5,5,5,5,5,5
5323339,2019-09-08T23:50:12Z,Senior Project Manager,"I loved working there and enjoyed to environment people,","Great working environment and facilities, cutting edge technology.",Large organisation slow moving with lots of red tape.,former employee,"Sydney NSW, Australia",5,3,5,3,5,4,5
5320731,2019-08-13T08:48:14Z,Bank Teller,"Do not appreciate your long term dedication to the company.
Don't pay entitlements.
Losing respect for company.
",Cannot think of anything.,Dealing with young managers with no people skills.,current employee,"Melbourne VIC, Australia",2,3,2,2,2,3,4
5318001,2019-07-11T07:21:04Z,Customer Service Specialist,"Great people, management experience varied",There was a lot of opportunity to learn new things,"While it may vary from branch to branch, work/life balance was not good. ",former employee,"Victoria, Australia",3,3,3,2,3,2,5
5315417,2019-06-20T02:58:07Z,Associate Adviser,I would not recommend anyone to work here,"Benefits & Perks
Proper Training provided","Management lacks transparency
Poor management
You are just a number to this place
Very judgmental and biased managers 
",former employee,"Brisbane QLD, Australia",1,3,2,1,2,2,2
5304426,2019-05-07T06:05:01Z,Customer Service Representative,"The CBA is trying to not have tellers, so am not sure of the future, which is frustrating 
",Being a casual not pushed to sell as much,Not knowing when l will be working next ,current employee,"Geelong VIC, Australia",3,1,2,3,3,3,3
5303776,2019-05-07T00:01:19Z,Customer Service Role,If you can't find another job you like then its worth working for.,Large organization with various opportunities ,Too demanding with low incentives ,current employee,"Sydney NSW, Australia",3,3,3,3,3,3,4
5305702,2019-05-06T23:02:29Z,Project Manager,Great place to work but need to do more to align salary framework to the new capabilities and types of employees they are after.,Flexibility and new offices,"Red tape
Salary based on experience not capability 
",former employee,"Sydney NSW, Australia",5,4,5,4,5,5,5
5302949,2019-05-06T22:39:26Z,Customer Service Specialist,Commonwealth Bank has no place on my resume.,Some of the people I started with were genuine and actually cared about the customer experience.,"The high level of mis treatment from Management, and the Misandry leadership team. ",former employee,"Launceston TAS, Australia",1,3,1,1,1,1,2
5303063,2019-05-06T21:46:55Z,Senior Designer,Great work environment with lots of nice people,Excellent technology ,Too much offshoring work,current employee,"Haymarket NSW, Australia",4,5,5,1,5,5,5
5313863,2019-05-06T21:27:22Z,Customer Service,There is a reason CBA makes so much profit,Getting paid on time,"How fake everything is
Lack of staff 
Expectation to work extra hours for no pay
Low pay compared to other banks",former employee,Australia,1,1,1,1,1,1,3
5302576,2019-05-06T21:06:41Z,Financial Crime Manager,I am manager in a risk management area who has been at CBA for over 3 years.,Opportunities for career development.,Bureaucracy and politics.,current employee,"Sydney NSW, Australia",4,3,5,3,3,3,4
5301630,2019-05-06T14:07:23Z,Customer Service Representative,Never again. Only one objective - Sales - ,"Uniform supplied
Fee free banking",Upper Management contradicttion,former employee,"Tasmania, Australia",2,2,3,1,2,3,1
5301507,2019-05-06T13:50:00Z,Customer Service Specialist,Would never advise anyone work for this bank,Customers were what kept me there,Management was power hungry and degrading,former employee,"Victoria, Australia",1,1,1,1,1,1,1
5301599,2019-05-06T13:36:55Z,Branch Concierge,Pretty good only if you’re in the right department ,"- Plenty of career development opportunities
- Bonuses/perks are pretty good ","- Branch staff aren’t treated as well as back-office staff 
- Expected to work overtime without pay
- Increasing pressure on branch staff",former employee,"Sydney NSW, Australia",3,3,5,3,3,3,4
5306769,2019-05-06T11:38:50Z,Lending Manager,Very nice Organization if  can get rid of personal preference . ,Sustem they have but top management they are brutal ,Corporate capture is not followed I found personal likings and dislikings are more preferable .,former employee,"Coburg VIC, Australia",1,1,1,1,1,1,1
5300799,2019-05-06T11:17:46Z,Branch Manager,Great in the early days,"Benefits and employee discounts, relocating to more opportunities but they are rare, meeting great people","Having branches close and being made redundant, senior management isn’t great",former employee,"South Australia, Australia",3,4,3,1,2,2,5
5299828,2019-05-06T10:55:08Z,Customer Service Role,Not the best bank to work for..... but not too bad either.,Staff benefits on all banking adds up. Regular and reliable pay cycle and superannuation paid.,Management and expectations of targets to reach. The complex banking regulations frontline staff are expected to know is stressful. ,former employee,"Sydney NSW, Australia",4,5,4,3,3,4,4
5314142,2019-05-06T10:20:03Z,Customer Service Specialist,Overall was goos,Good work life balance ,Poor management and hard to get internal transfer,former employee,"Auburn NSW, Australia",4,5,3,3,4,5,5
5299788,2019-05-06T09:57:37Z,Financial Planner,A very tough environment with heavy pressure and high workloads,Some opportunities to work close to home,Unethical management at all levels,former employee,"Melbourne VIC, Australia",2,3,3,1,2,1,3
5298948,2019-05-06T09:48:50Z,Customer Service Specialist,Good but same culture in all branches,Benefits and training available ,"Management, in particular branch manager",former employee,"Wagga Wagga NSW, Australia",1,5,5,1,1,1,3
5299133,2019-05-06T09:39:28Z,Officer,Not good,The people who inspire you ,Working with management that target you or have an agenda against you,former employee,"Parramatta NSW, Australia",2,3,2,1,1,2,3
5299424,2019-05-06T09:34:50Z,Technical Business Analyst,"Challenges , Automating and continuous improvement in every corner.",Environment and Facilities,"Sometimes too much pressure from project, not able to spend time with family.",former employee,"Sydney NSW, Australia",5,3,4,4,5,3,5
5314279,2019-05-06T09:22:07Z,Employee,If you know where you want to go and hold the right cards then it’s great place to work,A good place with good people and lots happening,Career progression is an individuals fight.,former employee,"Sydney NSW, Australia",5,4,5,5,5,5,5
5298535,2019-05-06T09:20:31Z,Branch Manager,I learnt so many valuable skills from working from CBA,Very focused on development,Work load can be intense ,former employee,"Wagga Wagga NSW, Australia",4,5,5,4,3,3,5
5303713,2019-05-06T09:12:39Z,Team Leader Senior,Disappointing tenure over 3 years at CBA and happy to have been given the chance to leave due to management restructure,Keen on pushing diversity,Poor management due to poor promotional decisions leading to lack of real experience of managing people.,former employee,"Sydney NSW, Australia",2,2,3,1,2,3,4
5303143,2019-05-06T08:49:13Z,Risk,Average , Offices are nice but ABW doesn’t work,"Diversity is preached but not practiced, especially from a cultural perspective ",former employee,"Sydney NSW, Australia",2,2,1,1,2,1,1
5297856,2019-05-06T08:48:39Z,Customer Service Representative,A great stable company ,"Flexible working hours, stability, bonus which include shares","KPI’s, busy environment, challenging customers.",former employee,"Newcastle NSW, Australia",3,4,3,3,3,4,5
5297576,2019-05-06T08:45:21Z,Analyst,Overall good place to work,"Good culture,good work life balance",Very easy to get lost in the crowd,current employee,"Sydney NSW, Australia",4,4,4,4,4,4,4
5298156,2019-05-06T08:38:59Z,Customer Service Representative,Felt used and then easily discarded by people who shouldn’t be in certain positions due to their personality not being suitable in a managerial role ,Great pay and nice up to date IT. ,Trying to advance and go from casual to full time. ,former employee,"Yea VIC, Australia",3,2,3,2,3,5,2
5297952,2019-05-06T08:30:13Z,Lender,Wasted all my years with them ,Working for the biggest bank in Australia and a good brand too ,Career progression - it's not what you know but who you know with this organization ,former employee,"Melbourne VIC, Australia",1,4,1,1,3,1,1
5297488,2019-05-06T08:20:50Z,Senior Manager,"Great place to grow your career, learn from the best in a market leading organisation that leads in digital and innovation.",Employee benefits. Collaboration. Innovative.,Big organisation with lots of complexity.,current employee,"Sydney NSW, Australia",5,5,5,4,5,5,5
5296831,2019-05-06T08:04:34Z,Customer Service Role,Didn’t realise how bad it was until I left ,No weekend work. Opportunity to transfer and advance career ,Lack of good managers. Expected overtime with no pay. Lack of breaks because of low staffing,former employee,"Bathurst NSW, Australia",2,3,4,1,1,2,3
5296966,2019-05-06T08:02:58Z,Operations Analyst,Not very enriching,Very organized and technologically enabled. ,Very standard process.,former employee,"Sydney NSW, Australia",2,1,2,3,4,4,3
5296204,2019-05-06T07:52:16Z,Customer Service Representative,Worst place to work ,Causal job and good pay ,"The head staff are unfair and don’t let you grow in the bank 
There is a lot of competition and as soon as your good at your job they find something to pick on so you leave ",former employee,"Melbourne VIC, Australia",1,1,1,1,1,1,1
5296181,2019-05-06T07:50:39Z,Marketing Manager,"Great, progressive organisation to work though could work just as well on leaner budgets ",Great team environment & courteous colleagues,Some management styles & delineation of work ,former employee,"Sydney NSW, Australia",4,4,4,4,4,4,5
5301548,2019-05-06T07:43:02Z,Branch Manager,Undervalued ,People you work with and customers ,Very short staffed. Managment care about themselves ,current employee,"QLD, Australia",1,4,1,1,1,1,3
5301525,2019-05-06T07:39:50Z,Executive Manager,Ok but no where as good as it used to be,Overall a great organisation with some super smart people. In general they look out for their staff.,"Promotion is based on your ability to obtain sponsors rather than promotion on ability. The best person doesn’t always get the job, very much who you know.Very difficult to cross over specialisations particularly into product teams who only recruit from product teams. ",former employee,"Sydney NSW, Australia",3,5,2,3,3,4,5
5295554,2019-05-06T07:34:40Z,Customer Service Role,Good to start your career with,Opportunities are more,Pay is below banking average ,current employee,Sydney 新南威爾斯州澳洲,3,1,4,3,2,2,3
5313322,2019-05-06T07:27:42Z,Customer Service Representative,It will give you a diverse understanding of finance and how to help people. ,"Team culture, understanding management and good pay ",Minimal opportunity to grow within the company. ,former employee,"Burnie - Somerset TAS, Australia",4,5,2,3,4,5,5
5293796,2019-05-06T07:08:16Z,Executive Assistant,Mostly great until made redundant while on mat leave. ,The teams I’ve worked with have been great. Mostly friendly people. ,Politics. People have more or less flexibility based on their manager. ,former employee,"Sydney NSW, Australia",3,1,3,3,3,4,4
5280961,2019-01-14T03:56:04Z,Mortage Processing,"Do not take a job at CBA Mortgage Processing in Collins Street, Melbourne.","Nice, up to date modern city offices with all amenities.","This was a call centre where everyone was initially employed as a casual and the casuals struggled to get made full time. The training was pitiful, the job high pressure, as dealing with mortgage settlements and therefore solicitors, mortgage brokers, members of the public. The support systems were bad (not enough help for the number of staff), most team leaders were aloof. The job was high pressure, successfully identifying many customers was extremely problematic. Staff mysteriously disappeared, there one day, gone the next. Training was only done after hours and compulsory. There was not enough allocated leave for non permanent staff to easily take any (not even unpaid). New staff trained other new staff once we were on the floor.",former employee,"Melbourne VIC, Australia",1,1,1,1,1,1,3
5273660,2018-11-27T08:19:28Z,Marketing Manager,Great place to work despite recent challenges in media ,Flexible working hours ,Current bank environment ,former employee,"Sydney NSW, Australia",5,5,5,5,5,5,5
5273295,2018-11-27T06:30:17Z,Process Engineer Various Levels,Great until you deal with HR.,"Culture, work environment, respect","HR, HR and HR. It's like a department determined to make things difficult.",former employee,"Sydney NSW, Australia",3,5,5,3,4,5,5
5272957,2018-11-27T06:03:56Z,Senior Engineer,Good place to work. But it depends on which team are you in.,Work life balance is good.,Its hard to transfer to another team. ,current employee,"Sydney NSW, Australia",4,4,2,4,4,5,5
5143723,2018-10-02T05:36:30Z,Manager,Care very little for the customer,The people you work with,A very self centred management team,former employee,Australia,1,1,1,1,1,1,1
5142193,2018-10-01T21:14:41Z,Lender,I am 50 /50 about working here ,Flexibility and brand reputation ,Micromanage and lowest salary compared to other banks ,current employee,"Melbourne VIC, Australia",3,5,2,1,2,4,5
5140444,2018-10-01T09:25:34Z,Case Assessor/ Business Analyst,"Good for stay two to three years to get experience, then hard to move up.","People are nice, environment is open, good work life balance",Promotion and payrise is difficult,current employee,"Sydney NSW, Australia",4,4,4,3,5,5,5
5140403,2018-10-01T09:17:03Z,Customer Banking Consultant,More bad than good,"White collar job, big brand","Low staff and training , high work pressure.",former employee,"Baldivis WA, Australia",3,3,4,3,3,2,5
5140072,2018-10-01T08:26:07Z,Team Manager,The opportunities are great if you work towards it!,The people you work with is great,Management can sometimes be your biggest obstacle ,current employee,"Sydney NSW, Australia",4,5,5,3,4,4,5
5139402,2018-10-01T07:12:25Z,HR Manager,Best job ever but CommBank should streamline processes,Great flexibility and work environment,Still quite hierarchical and process oriented,former employee,"Sydney NSW, Australia",5,3,4,5,5,5,5
5030882,2018-08-28T01:44:59Z,Settlements Officer,"I enjoyed my time at CBA. Main reason for leaving was that the role wasn't permanent. If it were, I think I would have stayed on board.",Fantastic and supportive environment with great training provided.,A lot of overtime required in order to meet targets.,former employee,"Parramatta NSW, Australia",4,4,4,5,4,3,5
4030118,2018-08-15T13:07:21Z,Group Finance,Regret staying there too long,Great technology. Great benefits. brand new laptops and leading edge technology.,Way too political. low work ethics. too much ego. no work life balance. Don't care attitude. no leadership or accountability on managers. focusing on cutting cost. cheaper and cheaper employees. no reward for loyalty.,former employee,"Sydney NSW, Australia",2,3,1,1,5,1,1
4013142,2018-08-09T21:23:56Z,Customer Service Specialist,Great development,Everything is good in CBA.  They value their employees as much as they calue the customers.,Development could be slow if self initiative is not taken,current employee,"Pakenham VIC, Australia",5,4,4,5,3,4,5
3115862,2018-08-06T06:46:14Z,Organisational Change Manager,Always new challenges,Committed people who genuinely care about customer outcomes,"A very large company, so your first few months is often just getting used to the way things work",former employee,"Sydney NSW, Australia",5,4,4,5,5,5,5
3107111,2018-08-03T06:02:23Z,Digital Solutions Architect,Not a great place to learn and grow. It is ok if you want do not want to grow your comfort zone.,Latest technologies. Great people above Architect level,Too many red tapes. It takes forever to make even a small change. It makes you lethargic.,current employee,"Sydney NSW, Australia",2,3,2,2,4,4,2
2916167,2018-06-07T09:49:12Z,Business Home Lending Specialist,"Strong brand, strong environment",Team environment with strong work ethic,The industry perception that is currently in the media. Not what goes on at the front line,current employee,"Victoria VIC, Australia",4,5,4,4,4,4,5
2871225,2018-05-24T01:57:14Z,Customer Service Specialist,Stressful,"If you are sales driven, then this is good for you. If not, look somewhere else.",Putting up with people you work with. It is a toxic environment,former employee,"Dalby QLD, Australia",2,2,2,2,1,2,2
2668604,2018-03-19T05:56:29Z,Direct Banking,Amzing compoany if you want to learn banking then CBA is it,You are family and treat you like a human they believe in looking after staff and will hp you in anyway they can,Learnung new procedures,current employee,"Parramatta NSW, Australia",5,5,5,5,5,5,5
2659454,2018-03-16T00:33:14Z,ENTERPRISE SERVICE,"Horrible experience working there, please avoid!!","It only sounds good to outsiders when you work at CBA, nothing else.","Management/structure changes too frequently, and it is getting worse and worse, total waste of time and money!!",former employee,"Sydney NSW, Australia",1,1,1,1,1,2,1
2581789,2018-02-22T13:17:17Z,Wealth Management,You are rewarded well for hard work,Strong HR policies in place,Limited opportunities if you don’t want to leave Perth,current employee,"Perth WA, Australia",5,5,5,4,5,3,5
2580925,2018-02-22T10:09:51Z,Customer Service Representative,Would never go back.,Yoi get to interact with lots of different people and learn about financial services,Dealing with difficult or rude customers,former employee,"Geraldton WA, Australia",3,4,3,1,2,3,4
2580666,2018-02-22T09:55:11Z,Relationship Executive,It was a great career.,Ability for career progression.  An opportunity to work across multiple disciplines,Work / life balance.  One must dedicate their life to the bank.,former employee,"Brisbane City QLD, Australia",4,4,4,2,2,1,4
2580480,2018-02-22T09:37:50Z,Customer Service Specialist,Practical,Reliable work environment.,The management jargon can be overwhelming.,current employee,"North Shore NSW, Australia",3,1,4,1,2,4,4
2580170,2018-02-22T08:58:56Z,Bank Teller,Exhausting,The days go quick as you are always looking after customers however it is very exhausting being understaffed.,Always understaffed and overly high expectations,current employee,"Tasmania, Australia",1,2,3,1,2,1,3
2579300,2018-02-22T07:34:05Z,Small Business Specialist,We can - small business,Being able to assist small business clients achieve what they want for their business,Working in branch environment- no laptop,former employee,"Brisbane QLD, Australia",5,5,5,4,4,4,5
2578729,2018-02-22T06:43:14Z,Institutional Banking And Markets,Would work there again for the life skills training,Some really good courses and development opportunities.,Management not focused on the brightest but focused on the flashiest employees.,former employee,"Perth WA, Australia",4,3,4,3,3,4,5
2578495,2018-02-22T06:16:08Z,Institutional Banking And Markets,Very Sydney centric and exclusive leadership style,CBA's reputation amongst clients,"Perth was often left out of organisation wide initiatives as it only represented 10% of the total revenue for the company. Not an inclusive workplace. Poor quality office environment, office management and respect for staff.",former employee,"Perth WA, Australia",2,2,2,2,1,3,2
2536125,2018-02-09T07:38:05Z,Customer Service Officer,"Good to work for, bad for making redundant",Good working environment & the people,Keeping up with technology,former employee,"Brisbane City QLD, Australia",4,4,4,4,5,5,5
2534290,2018-02-09T01:41:03Z,Learning Design Consultant,It changed my life. My professional life has taken a new trajectory since beginning employment at CBA.,"Office culture, work environments.","Finding your feet, getting in with the company  lingo.",former employee,"Sydney NSW, Australia",5,4,4,4,4,5,5
2533190,2018-02-08T22:08:27Z,Associate Director,Like working for a very bad public service,"Nothing, the management have no clue",Everything most important thing for senior management is the work trips and liquid lunches,former employee,"Sydney NSW, Australia",1,1,2,1,1,2,1
2532796,2018-02-08T20:08:53Z,Bank Officer,Political,"Co-workers, working unsupervised, flexibility with your hours",Working with incompetent staff  - We are Sydney therefore we are right,current employee,"Brisbane City QLD, Australia",1,2,1,1,3,3,2
2532380,2018-02-08T18:23:55Z,CSS,"Good, but not great","National company
All Australian based 
Known for assisting women back into workforce","Local and area management
Non flexible leave",current employee,"Tasmania, Australia",3,4,1,1,3,3,1
2529039,2018-02-08T10:19:25Z,Custmer Service,Security and possibilities with plenty of stress.,You receive training at all levels. There is room to advance always if you want that.,Not letting the  pressure and high push environment get you down.,former employee,"Sydney NSW, Australia",4,4,5,3,3,3,5
2528522,2018-02-08T08:57:10Z,Executive Manager,Sensational strong Australian  company,Winning  culture  performance  focused.  Great environment.,Poor public perception leads to a lot of incorrect feedback.,former employee,"Victoria VIC, Australia",5,5,5,5,5,5,5
2524458,2018-02-08T08:23:16Z,PMO Lead,Good culture and good support,A great company nice premises,None to speak of as time there was a goid experience,former employee,"Sydney NSW, Australia",5,3,4,3,3,5,4
2528237,2018-02-08T07:35:23Z,Customer Service Officer,CBA don't go there,Work life balance was always good. Not working weekends is great.,The pressure to sell sell sell.,former employee,"Richmond NSW, Australia",1,2,3,2,2,4,4
2528904,2018-02-08T07:18:35Z,Rba,",",.Lots of politics. People do things to cover themselves.,",,.Lots of politics. People do things to cover themselves",former employee,"Sydney NSW, Australia",1,1,1,1,1,1,1
2524958,2018-02-08T07:15:24Z,Customer Service Representative,Not like it used to be,I worked with some great Work colleagues,Meeting targets was the biggest challenge,former employee,"NSW, Australia",3,3,3,3,3,3,2
2527552,2018-02-08T06:58:12Z,Customer Service Representative,Good learning and work was appreciated by customers. Some good managers and co workers. Some awful managers.,Brand name and good customers,Too much sales pressure,former employee,"Pakenham VIC, Australia",2,3,1,1,1,2,3
2523129,2018-02-08T06:43:43Z,Manager,Not worth it,Most of Non executive level people are good.,"Incompetent ""leadership"". Primary skill is corporate politics.",former employee,Sydney,1,2,1,1,1,1,1
2521680,2018-02-08T06:28:19Z,Business Analyst,Best company I have ever worked for,Internal talent is excellent & plenty of opportunities to diversify your skillset.,Segments of the bank don’t work too well together,current employee,"Sydney NSW, Australia",5,3,5,4,5,4,5
2524102,2018-02-08T06:25:16Z,Customer Service Representative,Very bad workplace,I do not see any positive point.,Lots of pressure just because of more sale.,current employee,"Brisbane City QLD, Australia",1,1,1,1,1,1,1
2489561,2018-01-30T04:08:06Z,Contact Centre Consultant,Bank = Good / Managers = Bad,Fantastic coaching opportunities and plenty of space to move around,Extremely hard to find a manager that doesn't micro-manage and/or actually knows the product their team services.,current employee,"Sydney Olympic Park, New South Wales, Australia",2,4,2,1,3,4,5
2485358,2018-01-25T01:46:36Z,Relationship Manager,Never again,"Discounts on banking products
Good relations with other staff members
Technology","Middle Management who have no idea what they are doing.
Large turnover of quality staff.
Large portfolio of clients and lots of overtime",former employee,"NSW, Australia",2,4,2,1,2,2,2
2438815,2018-01-15T04:40:51Z,Xx,Don't go there unless that's your only option,"Reasonable pay, friendly",Escape goat mentality in every team. Still a government department albeit with higher profile,former employee,"Sydney, New South Wales, Australia",1,2,2,2,2,3,1
2243778,2017-12-14T03:34:51Z,Customer Service Officer,"Good company to work for, unfortunately relocating my job fell through","Support by peers, good training",Inadequate number of staff,former employee,"Parramatta, New South Wales, Australia",4,3,3,4,4,3,5
2241786,2017-12-13T23:22:50Z,Modelling Analyst,So far it was my best work experience,"Flexibile environment, opportunities for development",Too many reporting lines,former employee,"Sydney, New South Wales, Australia",5,3,5,4,5,5,5
2187239,2017-11-26T06:14:57Z,Financial Market Operations,"Encouraging a positive approach to work, customers and colleagues alike.",Focus on the people and promoting team engagement.,Well behind market leaders on salaries.,former employee,"NSW, Australia",4,3,4,4,4,4,4
2178342,2017-11-23T13:51:08Z,Customer Service Specialist,"Overall, an alright-level uni student job","Lots of financial benefits and discounts, very diverse","Some managers have no banking background, dealing with lots of cash, very dirty",current employee,"Brisbane City, Queensland, Australia",2,4,3,2,3,2,4
2177750,2017-11-23T11:44:52Z,Executive Assistant To The CEO,"Great corporate culture, proud to be part of this team.","Great culture, team work and diversity.","Processes, processes, processes!",current employee,"Melbourne, Victoria, Australia",5,4,4,5,5,4,5
2177204,2017-11-23T10:46:12Z,Home Finance Manager,Difficult to keep up to the extremely high expectations and frequent performance assessments.,Good rate of pay. Good incentives.,Very sales driven. Extremely high expectations of their frontline staff. Encouraged to speak up about issues but then treated poorly as a result.,current employee,"NSW, Australia",2,4,3,1,2,3,4
2174003,2017-11-23T08:29:03Z,Team Leader,Poor,Fellow staff members,They only care about results and numbers. If you show promise from the start they invest time in you. If you look like you need guidance and help to achieve results they do their best to get rid of you. I was a very high achiever but i watched too many people get forced out.,former employee,"Newcastle, New South Wales, Australia",1,4,3,1,1,3,4
2172205,2017-11-23T06:41:15Z,QA Test Analyst,Great bunch of people to work with but very bad pay scale.,The people I work with,Training new people on the systems,former employee,"Sydney, New South Wales, Australia",5,4,3,3,5,4,5
